  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
766851,ISC      ,30-12-1972,26:48.1,-3.1372,101.882,77,TRUE  ,ISC      ,mb    ,4.6,,,
764854,ISC      ,13-01-1973,10:18.5,-2.7356,101.1881,73.6,      ,ISC      ,mb    ,5.1,,,
763820,ISC      ,10-02-1973,27:24.0,1.2453,101.0417,35,TRUE  ,ISC      ,mb    ,4.5,,,
763939,ISC      ,15-02-1973,31:15.9,-4.4107,102.9421,64,TRUE  ,ISC      ,mb    ,5.5,,,
763990,ISC      ,16-02-1973,47:09.7,6.7599,94.1889,23,      ,ISC      ,mb    ,4.9,,,
764316,ISC      ,25-02-1973,31:41.4,-1.8048,99.5201,31.2,      ,ISC      ,mb    ,5.4,ISC      ,MS    ,6
764336,ISC      ,25-02-1973,28:27.4,-1.8082,99.5935,30,TRUE  ,ISC      ,mb    ,4.7,,,
764366,ISC      ,26-02-1973,57:30.7,-1.8381,99.5815,28.8,      ,ISC      ,mb    ,5.3,ISC      ,MS    ,5.3
764400,ISC      ,27-02-1973,49:38.4,-1.7706,99.5915,30,TRUE  ,ISC      ,mb    ,5,,,
762598,ISC      ,10-03-1973,32:11.4,4.1127,95.3405,35,TRUE  ,ISC      ,mb    ,4.8,,,
762992,ISC      ,17-03-1973,40:48.5,-5.1652,103.1474,62.3,      ,ISC      ,mb    ,5.8,,,
762994,ISC      ,17-03-1973,38:45.5,-6.9829,101.9935,16.3,      ,ISC      ,mb    ,5.1,,,
763455,ISC      ,29-03-1973,20:35.4,-2.3512,99.3041,32,TRUE  ,ISC      ,mb    ,4.9,,,
763491,ISC      ,30-03-1973,16:11.7,-4.7984,103.1445,64.9,      ,ISC      ,mb    ,5.1,,,
761081,ISC      ,02-04-1973,15:46.2,-4.3574,102.8298,64,TRUE  ,ISC      ,mb    ,4.9,,,
761112,ISC      ,03-04-1973,22:43.6,-4.6676,103.082,64,TRUE  ,ISC      ,mb    ,5.3,,,
761255,ISC      ,07-04-1973,01:00.3,6.9809,91.3906,27.3,      ,ISC      ,mb    ,6,ISC      ,MS    ,6.5
761256,ISC      ,07-04-1973,14:47.1,6.8787,91.3921,20,TRUE  ,ISC      ,mb    ,4.8,,,
762048,ISC      ,28-04-1973,49:27.7,-4.1119,102.4751,65,TRUE  ,ISC      ,mb    ,5.4,,,
760200,ISC      ,04-05-1973,56:07.9,-1.388,99.8214,53.5,      ,ISC      ,mb    ,5.8,ISC      ,MS    ,5.5
760269,ISC      ,07-05-1973,53:31.1,7.1319,91.2107,35,TRUE  ,ISC      ,mb    ,4.9,,,
760410,ISC      ,12-05-1973,46:48.0,-3.3502,101.1697,32.8,      ,ISC      ,mb    ,5.6,,,
760575,ISC      ,17-05-1973,21:34.2,-2.2519,100.8767,72.1,      ,ISC      ,mb    ,4.9,,,
760687,ISC      ,21-05-1973,47:06.9,-6.292,104.006,50.2,      ,ISC      ,mb    ,5.1,,,
759898,ISC      ,26-06-1973,01:25.1,-2.2611,101.3574,100,TRUE  ,ISC      ,mb    ,4.6,,,
757954,ISC      ,04-07-1973,38:49.1,-7.6466,104.4811,10,TRUE  ,ISC      ,mb    ,5.2,,,
757993,ISC      ,05-07-1973,29:40.0,-7.4148,104.6151,27,TRUE  ,ISC      ,mb    ,4.8,,,
758579,ISC      ,22-07-1973,35:01.2,-6.6041,105.5028,53,TRUE  ,ISC      ,mb    ,5.2,,,
758765,ISC      ,27-07-1973,48:11.2,-9.0976,106.8302,31.5,      ,ISC      ,mb    ,5.3,,,
756960,ISC      ,04-08-1973,28:00.4,7.0313,91.3888,20,TRUE  ,ISC      ,mb    ,4.9,,,
757298,ISC      ,15-08-1973,18:54.4,0.8638,99.3587,35,TRUE  ,ISC      ,mb    ,4.8,,,
757464,ISC      ,21-08-1973,02:45.3,-5.4133,102.4567,32.7,      ,ISC      ,mb    ,5.5,ISC      ,MS    ,5.4
756129,ISC      ,06-09-1973,05:50.2,4.3972,94.9634,30.1,      ,ISC      ,mb    ,4.8,,,
756131,ISC      ,06-09-1973,23:41.2,0.3141,98.4708,35,TRUE  ,ISC      ,mb    ,4.6,,,
756366,ISC      ,15-09-1973,53:39.8,-4.2186,102.1977,71,      ,ISC      ,mb    ,5.1,,,
756588,ISC      ,22-09-1973,00:17.5,0.618,96.6629,23,TRUE  ,ISC      ,mb    ,5,,,
756766,ISC      ,27-09-1973,04:39.8,-5.8781,104.7958,30,TRUE  ,ISC      ,mb    ,5.2,,,
756769,ISC      ,28-09-1973,58:59.5,1.8685,99.1147,119.9,      ,ISC      ,mb    ,5,,,
755643,ISC      ,20-10-1973,48:21.5,4.8447,94.361,43,TRUE  ,ISC      ,mb    ,4.6,,,
754299,ISC      ,09-11-1973,26:38.3,6.0114,93.8284,17.2,      ,ISC      ,mb    ,5,,,
754455,ISC      ,15-11-1973,20:10.5,9.9443,93.696,26.2,      ,ISC      ,mb    ,5,,,
754625,ISC      ,20-11-1973,10:44.2,-1.3166,100.6923,10.5,      ,ISC      ,mb    ,4.7,,,
754826,ISC      ,26-11-1973,51:12.7,-7.081,106.4209,35,TRUE  ,ISC      ,mb    ,4.9,,,
754889,ISC      ,28-11-1973,05:41.0,2.9866,96.4021,33,TRUE  ,ISC      ,mb    ,5.1,,,
753217,ISC      ,01-12-1973,54:00.9,1.5972,99.5568,35,TRUE  ,ISC      ,mb    ,4.9,,,
753218,ISC      ,01-12-1973,58:23.1,-1.8749,100.7913,35,TRUE  ,ISC      ,mb    ,4.8,,,
753415,ISC      ,08-12-1973,10:02.7,-0.2843,98.2238,21.2,      ,ISC      ,mb    ,5.5,ISC      ,MS    ,5.7
753623,ISC      ,16-12-1973,47:29.9,-6.396,104.356,40,TRUE  ,ISC      ,mb    ,5.3,,,
752172,ISC      ,01-01-1974,07:42.2,4.707,95.8304,67,      ,ISC      ,mb    ,5.1,,,
752173,ISC      ,01-01-1974,13:32.7,4.905,95.7905,29,TRUE  ,ISC      ,mb    ,4.8,,,
752772,ISC      ,19-01-1974,55:01.2,2.867,97.7748,100,TRUE  ,ISC      ,mb    ,4.5,,,
752832,ISC      ,21-01-1974,42:31.4,0.5962,96.6003,14.8,      ,ISC      ,mb    ,5.2,,,
752926,ISC      ,23-01-1974,07:19.6,2.261,99.2988,160,TRUE  ,ISC      ,mb    ,4.9,,,
751121,ISC      ,01-02-1974,00:54.5,-4.7062,103.1566,105,TRUE  ,ISC      ,mb    ,5.4,,,
751182,ISC      ,02-02-1974,56:14.9,-6.1796,104.1612,41.2,      ,ISC      ,mb    ,5.5,ISC      ,MS    ,5.7
751542,ISC      ,11-02-1974,40:49.4,-6.1824,103.8585,42,TRUE  ,ISC      ,mb    ,5.6,,,
751565,ISC      ,11-02-1974,10:16.3,6.8846,91.2084,20,TRUE  ,ISC      ,mb    ,5.1,,,
751650,ISC      ,14-02-1974,38:20.5,2.5498,99.0422,149.2,      ,ISC      ,mb    ,5.3,,,
751977,ISC      ,24-02-1974,07:51.4,-6.2454,104.9606,49,TRUE  ,ISC      ,mb    ,5,,,
752087,ISC      ,27-02-1974,01:50.0,1.2916,97.5406,32.8,      ,ISC      ,mb    ,6.1,ISC      ,MS    ,5.3
